English,Hindi,Hinglish,bert_base,vader_sentiment
Something which is dangerous or risky for survival.,ऐसी वस्तू जो जीवन या उत्पति के लिए संकटजन्य है,aesi vastoo jo jivan ya utpti ke lie snkatajany hai,negative,negative
Bharavi was almost a contemporary of Kalidasa.,भारवि करीब करीब कालिदास के समकालीन थे.,bharvi karib karib kalidas ke contemporary the,neutral,neutral
Following problems were found with the data you entered:,डाटा जो आपने भरा है उसके कारण निम्न समस्याएँ मिलींः,data you entered bhara hai uske karan nimn samasyaen milina,negative,negative
This is a case of congenital megalogastria.,यह जन्मजात उदरविस्फार की स्थिती है.,yah congenital udarvisphar ki case hai,negative,neutral
Water resources development and management will have to be planned for a hydrological unit.,एक हाइड्रोलॉजिकल इकाई के लिए जल संसाधन विकास और प्रबंधन की योजना बनानी होगी।,ek hydrological unit ke lie water resources development aur management ki yojna banani hogi.,neutral,neutral
"if culture changes us, as indeed it does,","अगर संस्कृति हमें परिवर्तित करती हो, जो कि वह वाकई करती है -","agar culture hamen changes karti ho , jo ki vah vakee karti hai -",neutral,neutral
Habitat They live near water in open tree - and shrub - grasslands.,निवास: ये पेड़ और घास वाले खुले मैदानों में रहते हैं।,habitat : ye tree aur ghas vale khule near men rahte water,neutral,neutral
Whether the image gallery pane should be resizable.,क्या छवि गैलरी फलक बदलने योग्य होना चाहिए.,kya image gallery pane badalne yogy hona chahie,neutral,neutral
"Do you call on Ba 'lan (the idol Baal) and abandon the Best Creator,",क्या तुम 'बअत' (देवता) को पुकारते हो और सर्वोत्तम सृष्टा। को छोड़ देते हो;,kya tum bat ba ko pukarte ho aur best creator ko chhor dete ho,negative,positive
working together for a common goal,किसी सामान्य उद्देश्य के लिए मिलकर काम करना,kisi common goal ke lie milakar kam karna,positive,neutral
The Skene 's glands is more commonly known as the G - spot.,स्कीन ग्रन्थियाँ सामान्यतः जी-स्पॉट के रूप में जानी जाती हैं.,skin granthiyan samanyta ji-spt ke roop men jani jati hain,neutral,neutral
In tha Law there are a number of bylaws under one law.,विधि में एक नियम के अंतर्गत कई उप नियम होते हैं।,vidhi men ek law ke number kee tha law hote hain.,neutral,positive
"Moreover , even if we resolved the dispute by circumscribing its scope to some particular field of human endeavour and did agree on what is ' excellence ' , there is no knowing that it would be passed on to children .","और किसी विशिष्ट क्षेत्र के संदर्भ में उत्कृष्टता का अर्थ क़्या होगा , इस बात का निर्णय हम लोगों ने कर भी लिया तब भी आनेवाली पीढ़ी की संतानों में यह गुण दिखाई देगा , इस बात की कोई गारंटी नहीं दी जा सकती .","aur kisi vishisht kshetr ke sndarbh men utkrishtta ka arth ya hoga , is bat ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega , is bat ki koee garnti nahin di ja sakti",neutral,positive
Vaccine is available and cannot be given during pregnancy. Women vaccincated against varicella should not try to conceive for at least one month after vaccination.,टीका उपलब्ध है और गर्भवती स्त्रियों को नहीं दिया जा सकता है. टीका लेने के बाद स्त्रियों को कम से कम एक महीने तक गर्भधारण नहीं करना चाहिये.,vaccine available hai aur pregnancy women ko nahin diya ja sakta hai vaccine lene ke bad women ko least se least ek month tak garbhdharan nahin karna chahiye,negative,neutral
going to be aligned at the center of the cell.,कोशिका के केंद्र में पंक्ति बद्ध होंगे.,cell ke kendr men pnkti baddh honge,neutral,neutral
The court said that the words were merely laughable and incapable of producing any effect on the readers.,न्यायालय ने कहा कि वे शब्द सिर्फ हास्यास्पद थे और पाठकों पर कोई प्रभाव डालने में अक्षम थे।,nyayalay ne kaha ki ve shabd sirph hasyaspad the aur pathkon par koee prbhav incapable of producing the.,negative,negative
The violin bow might well have grown out of the act of fire-making by scraping one rod over another .,बहुत संभव है कि वायलिन का गज भी एक छड़ी को दूसरी छड़ी पर रगड़कर आग जलाने वाली सामान्य जीवन की क्रिया का ही विकसित रूप हो .,bahut snbhav hai ki violin ka bow bhi ek rod ko doosri rod par act aag jalane vali samany jivan ki kriya ka hi viksit roop ho,neutral,positive
An error occurred while trying to set up sync.,सिंक सेट अप करने का प्रयास करते समय एक त्रुटि उत्पन्न हुई.,sync set ap karne ka pryas karte samay ek error utpann huee,negative,negative
"Speaking on the occasion, the President said India is fortunate to have a large young population to take forward her aspirational agenda of change.","इस अवसर पर, राष्ट्रपति ने कहा कि, भारत सौभाग्यशाली है कि उसके पास परिवर्तन की आकांक्षापूर्ण कार्यसूची की प्राप्ति के लिए विशाल युवा पीढ़ी है।","is occasion par , president ne kaha ki , india fortunate hai ki uske pas change ki population agenda ki prapti ke lie large young pii hai.",positive,positive
"Many scholars - and , of course , there are many who dispute the point - are of the opinion that quite possibly the idea of making a harp originated in the twang of the hunting or martial bow and the plectrum in the arrow .","हालांकि अनेक विद्वान इस मत का विरोध करते हैं , फिर भी बहुत से विद्वानों की यह मान्यता है कि तंत्र-वाद्य के निर्माण का विचार संभवत : शिकारी या युद्ध संबंधी धनुष और बाण के कोण द्वारा उत्पन्न टंकार से दिमाग में आया होगा .","course many vidvan is point ka virodh karte hain , phir bhi bahut se scholars ki yah manyta hai ki tntr-vady ke nirman ka vichar snbhavat : hunting ya martial snbndhi harp aur arrow ke kon dvara utpann twang se dimag men aaya hoga",neutral,negative
Chromium is no longer updating because your operating system is obsolete.,क्रोमियम अब और अपडेट नहीं कर रहा है क्योंकि आपका ऑपरेटिंग सिस्टम अप्रचलित है.,chromium ab aur updating nahin kar raha hai kyonki aapka operating system aprachlit hai,negative,negative
Element of cost cannot be ignored while preparing a project.,किसी परियोजना को बनाने में लागत तत्व की उपेक्षा नहीं की जा सकती।,kisi project ko banane men cost element ki upeksha nahin ki ja sakti.,neutral,positive
The movement holds in its embrace not only the trees of Shri Bhatt’s beloved Gharwal but all creation across the world.,आंदोलन में न केवल श्री भट्ट के प्रिय गढ़वाल के वृक्ष बल्कि विश्वभर की सारी सृष्टि भी शामिल हैं।,movement men n keval shri bhatt ke priy embrace ke trees balki world ki sari creation bhi shamil,positive,positive
"Gandhiji claimed the defeat of Sitarmayya as his own defeat and told his colleagues that if they are not satisfied by Subhashbabu's methods, they can leave the Congress.",गाँधीजी ने पट्टाभी सितारमैय्या की हार को अपनी हार बताकर अपने साथीयों से कह दिया कि अगर वें सुभाषबाबू के तरिकों से सहमत नहीं हैं तो वें कांग्रेस से हट सकतें हैं।,gandhiji ne gandhiji claimed ki har ko apni har told his colleagues se kah diya ki agar ven leave the congress se sahamat nahin hain to ven kangres se hat sakten hain.,negative,negative
"21.Lovhaghat also called Iron Fort,it is one of the greatest attractions of Bharathpur.",21. लौहागढ़ आयरन फोर्ट के रूप में भी जाना जाता है लौहागढ़ भरतपुर के प्रमुख ऐतिहासिक आकर्षणों में से एक है।,21 fort aayaran phort ke roop men bhi jana jata hai fort bharatpur ke prmukh aetihasik aakarshnon men se ek it,positive,positive
Device does not support FILTER _ SLOT property.,उपकरण में FILTER _ SLOT गुण समर्थन उपलब्ध नहीं है.,device men FILTER _ SLOT property samarthan upalabdh nahin hai,negative,negative
It is the best source of soluble fibre.,यह घुलनशील रेशे का सर्वश्रेष्ठ स्रोत है।,yah soluble fibre ka best source hai.,positive,positive
This will be our tribute to Mahatma Gandhi on his 150th birth anniversary to be celebrated in the year 2019.,ऐसा करना महात्मा गांधी को उनकी 150वीं जयंती पर हमारी श्रद्धांजलि होगी जो वर्ष2019 में मनाई जाएगी।’,aesa karna mahatma gandhi ko unki 150birth anniversary par hamari shraddhanjli hogi jo varsh2019 men manaee jaegi.,positive,positive
"And to Thamud We sent their brother Sali 'h. He said:' My people! Serve Allah; you have no god other than Him. He brought you into being out of the earth, and has made you dwell in it. So ask Him to forgive you, and do turn towards Him in repentance. Indeed My Lord is near, responsive to prayers.",और (हमने) क़ौमे समूद के पास उनके भाई सालेह को (पैग़म्बर बनाकर भेजा) तो उन्होंने (अपनी क़ौम से) कहा ऐ मेरी क़ौम ख़ुदा ही की परसतिश करो उसके सिवा कोई तुम्हारा माबूद नहीं उसी ने तुमको ज़मीन (की मिट्टी) से पैदा किया और तुमको उसमें बसाया तो उससे मग़फिरत की दुआ मॉगों फिर उसकी बारगाह में तौबा करो (बेशक मेरा परवरदिगार (हर शख़्श के) क़रीब और सबकी सुनता और दुआ क़ुबूल करता है,aur serve aume samood ke pas unke brother saleh ko paimbar banakar bheja to unhonne apni people se kaha h meri people uda hi ki parastish god uske siva koee tumhara mabood nahin usi ne tumko zamin ki earth se paida kiya aur tumko usmen basaya to usse maphirat ki lord mgon phir uski bargah men repentance god responsive mera paravardigar har shash ke rib aur sabki sunta aur lord ubool karta hai,positive,positive
This is not even 2 feet.,यह 2 फीट भी नही है.,yah 2 feet bhi nahi hai,negative,neutral
"In most of the Committees, public is directly or indirectly associated when memoranda containing suggestions are received.",अधिकांश समितियों में जनता प्रत्यक्ष अथवा अप्रत्यक्ष ढ़ंग से तब संबद्ध होती है जब उनसे सुझावों संबंधी ज्ञापन प्राप्त होते हैं।,adhikansh samitiyon public is directly athva apratyaksh ng se tab snbaddh hoti hai jab memoranda containing suggestions jnjapan prapt hote hain.,neutral,neutral
"When Rano reached Kak at the dead of night, Natar tried to dissuade him from going up to Mumai 's chamber telling him that Mumal had taken another lover.","जब आधी रात के समय, राणो काकमहल पहुँचा तो नातर ने उसे मूमल के कक्ष में यह कहकर जाने से मना किया कि मुमल अब और किसी से प्रेम करती है।","jab aadhi dead of night, rano kakamahal pahuncha to natar ne use moomal ke kaksh men yah kahakar jane se mana kiya ki mumal ab aur kisi se prem karti hai.",neutral,neutral
There is in this audience and all around us a large number of elders who are making extremely valuable contributions to our country and to our society.,इस सभा में तथा हमारे आसपास ऐसे बहुत से वयोवृद्ध हैं जो कि हमारे देश तथा समाज के लिए बहुमूल्य सहयोग प्रदान कर रहे हैं।,is audience men tatha large aaspas aese bahut se elders hain jo ki large country tatha samaj ke lie valuable sahyog prdan kar rahe hain.,positive,positive
"So if we get rid of the percent sign,","इस लिए अगर हम पर्सेंटेज के निशान को हटा देते हैं तो, हम दशमलव को","is lie agar ham percent ke nishan ko hata dete hain to, ham dashamalav ko",neutral,neutral
"We think doodling is something you do when you lose focus,","ऐसा माना जाता है कि डूडल करने वाले का ध्यान भंग हो चुका है,","something mana jata hai ki focus karne vale ka dhyan bhng ho chuka hai ,",neutral,negative
"The e-hospital and e-project programmes taken up by NIMHANS are, therefore, excellent initiatives, worthy of emulation by other institutions.","इसलिए निमहैन्स द्वारा आरंभ किए गए ई-हास्पिटल और ई-प्रोजेक्ट कार्यक्रम उत्कृष्ट पहल हैं, अन्य संस्थाओं द्वारा अनुकरण किए जाने योग्य है।","islie nimhains dvara aarnbh kie ge ee-haspital aur ee-projekt karyakram utkrisht pahal hain, any snsthaon dvara anukaran kie jane yogy hai.",positive,positive
On top of this building there is a big tomb,इस इमारत के ऊपर एक वृहत गुम्बद सुशोभित है।,is imarat ke top ek big tomb sushobhit building,neutral,positive
A type of vein arrangement in leaf where veins run parallel to each other from the poin they strat to the end.,पत्ती में पाया जाने वाला एक प्रकार का शिरा विन्यास जहां अपने आरंभ होने के स्थान से अंत होने के स्थान तक शिराएं एक दूसरे के समांतर होती हैं,patti men paya jane vala ek type of vein vinyas jahan apne aarnbh hone ke sthan se ant hone ke sthan tak shiraen ek doosre ke samantar hoti hain,neutral,neutral
"So We took retribution from them, and We drowned them in the sea because they denied Our signs and were heedless of them.",तब आख़िर हमने उनसे (उनकी शरारत का) बदला लिया तो चूंकि वह लोग हमारी आयतों को झुटलाते थे और उनसे ग़ाफिल रहते थे हमने उन्हें दरिया में डुबो दिया,tab signs retribution unse unki shararat ka badla liya to choonki vah log hamari aayton ko sea the aur unse heedless rahte the retribution unhen dariya men dubo diya,negative,negative
They felt there wasn 't enough progress,उन्होंने महसूस किया कि वहाँ पर्याप्त प्रगति नहीं थी,unhonne wasn kiya ki vahan enough progress nahin thi,negative,positive
"Discussions in the assembly were marked by elements of purity, fairness, frankness and freedom.","सभा में चर्चाएं स्वतंत्र, स्वच्छ एवं निर्बाध हुआ करती थीं.","assembly men discussions svtntr , svachchh evn nirbadh huaa karti thin",positive,positive
Select the number of horizontal video windows in which to split the video,वीडियो विभाजित करने के लिए क्षैतिज वीडियो विंडोज़ की संख्या का चुनाव करें,video number karne ke lie horizontal video windows ki select the number karen,neutral,positive
Nobody knows what matter might crop up during this period or what kind of attack might be launched against the government.,यह कोई नहीं कह सकता कि इस काल के दौरान कौन-सा मामला उठ खड़ा हो या सरकार पर किस तरह का आक्रमण कर दिया जाए.,yah koee nahin kah sakta ki is kal ke matter might crop uth khara ho ya sarkar par kis tarah ka aakraman kar diya jae,negative,negative
"Somehow or other we want something which we can touch, something which we can see, something before which we can kneel down.","चाहे जिस कारण भी हो हम कोइ ऐसी वस्तु चाहते हैं जिसका हम स्पर्श कर सकें, जिसें देख सकें और जिसके समक्ष श्रद्धापूर्वक विनत हो सकें।","chahe jis karan bhi ho other koi aesi vastu chahte hain jiska other sparsh kar something , jisen dekh something aur jiske samaksh shraddhapoorvak vinat ho saken.",neutral,positive
In the absence of organised marketing for small agricultural products producers do not get good price realisation.,लघु कृषि उत्पादों के लिए संगठित विद्यमान व्यवस्था के अभाव में उत्पादकों को उनकी उपज का अच्छा मूल्य नहीं मिल पाता।,small agricultural products ke lie organised vidyman vyavastha ke absence men producers ko unki upaj ka good price nahin mil pata.,negative,negative
"Have they not realised that God knows their secrets and their confidential talk, and that God has the knowledge of unknown things?",क्या उन्हें खबर नहीं कि अल्लाह उनका भेद और उनकी कानाफुसियों को अच्छी तरह जानता है और यह कि अल्लाह परोक्ष की सारी बातों को भली-भाँति जानता है,talk unhen khabar nahin ki god unka secrets aur unki kanaphusiyon ko achchhi tarah janta hai aur yah ki god unknown ki sari baton ko bhali-bhanti janta hai,neutral,positive
"Eat of the lawful and good things God has provided for you, and be thankful for God’s blessings, if it is Him that you serve.",फिर अज़ाब (ख़ुदा) ने उन्हें ले डाला और वह ज़ालिम थे ही तो ख़ुदा ने जो कुछ तुम्हें हलाल तय्यब (ताहिर) रोज़ी दी है उसको (शौक़ से) खाओ और अगर तुम खुदा ही की परसतिश (का दावा करते हो),phir azab uda ne unhen le dala aur vah zalim the hi to uda ne jo kuchh tumhen halal tayyab tahir rozi di hai good things se khao aur agar tum khuda hi ki parastish ka dava karte ho,positive,positive
"A reward from your Lord, a gift according to a reckoning:",(ये) तुम्हारे परवरदिगार की तरफ से काफ़ी इनाम और सिला है,ye tumhare lord ki taraph se kafi reward aur sila hai,positive,positive
It has been called Chhath because of fast of Suryashashthi.,मूलतः सूर्य षष्ठी व्रत होनेके कारण इसे छठ कहा गया है।,moolta soory shashthi vrat honeke karan ise chhath kaha gaya hai.,neutral,neutral
"Do not be like those who, after they had been given clear evidence, split into factions and differed among themselves: a terrible punishment awaits such people.","तुम उन लोगों की तरह न हो जाना जो विभेद में पड़ गए, और इसके पश्चात कि उनके पास खुली निशानियाँ आ चुकी थी, वे विभेद में पड़ गए। ये वही लोग है, जिनके लिए बड़ी (घोर) यातना है। (यह यातना उस दिन होगी)","awaits such people ki tarah n ho jana jo vibhed men par ge, aur iske pashchat ki unke pas clear evidence aa chuki thi, ve vibhed men par ge. ye vahi log hai, jinke lie bari ghor yatna hai. yah yatna us din hogi",negative,negative
"Said he, 'My Lord, respite me till the day they shall be raised.'","उसने कहा, ""ऐ मेरे रब! फिर तू मुझे उस दिन तक के लिए मुहल्लत दे, जबकि लोग (जीवित करके) उठाए जाएँगे।""","usne kaha, ae mere rab! phir too mujhe us day tak ke lie muhallat de, jabki log jivit karke uthae till",positive,neutral
The Madras High Court was a pioneer in the enrolment of women.,मद्रास उच्च न्यायालय महिलाओं के प्रवेश में भी अग्रणी रहा।,madras high court enrolment of women men bhi agrni raha.,positive,neutral
"The chiefs of those who disbelieved among his people said: we behold thee except as a human being like us, and we behold not any follow thee except the meanest of us, by an immature opinion; nor We behold in you any exellency over us; nay! we deem you liars.","इसपर उसकी क़ौम के सरदार, जिन्होंने इनकार किया था, कहने लगे, ""हमारी दृष्टि में तो तुम हमारे ही जैसे आदमी हो और हम देखते है कि बस कुछ ऐसे लोग ही तुम्हारे अनुयायी है जो पहली स्पष्ट में हमारे यहाँ के नीच है। हम अपने मुक़ाबले में तुममें कोई बड़ाई नहीं देखते, बल्कि हम तो तुम्हें झूठा समझते है।""","isapar uski aum ke sardar , jinhonne inkar kiya tha , kahne lage , hamari drishti men to follow hamare hi jaise aadmi ho aur ham thee hai ki bas kuchh aese people hi tumhare anuyayi hai jo pahli spasht men hamare yahan ke opinion chiefs ham apne muable men tummen koee baraee nahin thee , balki ham to tumhen jhootha samajhte chiefs",negative,negative
"To some extent , Farooq is nervous about the ongoing secret talks between the Hurriyat and Delhi 's non-official negotiators .",फारूक ह्र्रियत और दिल्ली के गैर-सरकारी वार्ताकारों के बीच चलती बातचीत से कुछ बेचैन हैं .,farooq hurriyat aur delhi ke gair-sarkari extent ke bich chalti talks se kuchh nervous hain,neutral,negative
they've calculated that Congo may have lost,उसने यह अनुमान लगाया है कि कोंगों का नुकसान,usne yah anuman lagaya hai ki congo ka nuksan,neutral,negative
1. This does not function within defined time frame.,1. ये नियमित अंतराल से काम नहीं करती है,1 ye niymit defined time frame nahin karti hai,negative,neutral
The Congress called the plan 'preposterous'.,कांग्रेस ने योनजा को ‘असंगत’ कहा।,congress ne yonja ko asngat called,negative,neutral
"You know, my work is inspired","आप जानते हैं, मेरा काम प्रभावित है","aap jante hain , mera work prbhavit hai",positive,positive
They repeated their demand that the nuclear missiles on the earth must be defused and destroyed.,उन्होने अपनी मांग को दोहराया कि पृथ्वी के नाभिकीय प्रक्षेपणास्त्रों को बेकार और नष्ट कर दिया जाए।,unhone apni demand ko dohraya ki earth ke nuclear prakshepnastron ko bekar aur nasht kar diya jae.,negative,negative
"things that didn 't quite exist physically like insurance, stocks and bonds, enterprise softwares,","चीजें हैं जो काफी शारीरिक रूप से मौजूद नहीं था बीमा, स्टॉक्स और बांड्स, उद्यम सॉफ्टवेयर की तरह,","things hain jo kaphi sharirik roop se maujood nahin tha insurance, stks aur bonds, udyam sphtveyar ki tarah,",neutral,positive
"He listened to the wind, and felt the stones beneath his feet.",उसे हवा की आवाज सुनाई दी और पैरों के नीचे पत्थर भी महसूस हुए।,use wind ki aavaj sunaee di aur feet ke niche stones bhi mahsoos hue.,neutral,neutral
Have you got your cord with you?,तुम्हारे पास अपनी डोरी है न।,tumhare pas apni cord hai n.,neutral,neutral
"Motions, though they cover a variety of proceedings of the House, fall into three principal categories namely, Substantive Motions, Substitute Motions, and Subsidiary Motions.","यद्यपि प्रस्ताव सदन की विभिन्न कार्यवाहियों से संबंधित होते हैं तथापि उन्हें तीन प्रमुख श्रेणियों में रखा जा सकता है, अर्थात मूल (सब्सटेंटिव) प्रस्ताव, स्थानापन्न (सबस्टीट्यूट) प्रस्ताव और सहायक (सब्सीडियरी) प्रस्ताव.","yadypi prastav sadan ki vibhinn karyvahiyon se snbndhit hote hain tathapi unhen tin prmukh shreniyon men rakha ja sakta hai, arthat mool sabstentiv prastav, sthanapann sabastityoot prastav aur sahayak sabsidiyri prastav",neutral,neutral
"If you choose to create a new empty project, the file selection will be discarded.","यदि आप नई रिक्त परियोजना बनाने के लिए चुनते हैं, सभी फ़ाइल चयन नष्ट हो जाएंगे.","yadi aap nee empty project banane ke lie chunte hain, sabhi file selection nasht ho jaenge",negative,negative
Failed to get folder properties:% s,फ़ोल्डर विशेषता पाने में विफलः% s,folder properties pane men viphla s,negative,negative
There were errors trying to start the X server.,एक्स सर्वर प्रारंभ करने की कोशिश में त्रुटियाँ हुईं.,eks sarvar prarnbh karne ki koshish men trutiyan hueen,negative,negative
The sikhara on top also appears to have been square.,ऊपर शिखर भी वर्गाकार रहा होगा.,oopar sikhara bhi square raha hoga,neutral,positive
"And remember Our servants Ibrahim and Ishaq and Yaqoub, men of power and insight.",और (ऐ रसूल) हमारे बन्दों में इबराहीम और इसहाक़ और याकूब को याद करो जो कुवत और बसीरत वाले थे,aur servants rasool hamare bandon men ibrahim aur ishaq aur yakoob ko yad karo jo power aur insight vale the,positive,neutral
"So from A, we look at the neighbors of A. The neighbors of A are B and C.","इसलिए A से, हम ए के पड़ोसियों में देखो B और c. A के पड़ोसी हैं","islie A se, ham e ke parosiyon men dekho B aur c A ke parosi hain",neutral,neutral
The location “% s” does not exist.,स्थान “% s” मौज़ूद नहीं है.,location s exist nahin hai,negative,neutral
Soon he was seeking terms with the British.,शीग्र ही मानसिंह अंग्रेजों के साथ सौदे बाजी करने तात्या टोपे लगा।,shigr hi mansinh british ke sath terms baji karne tatya tope laga.,neutral,neutral
Could not rename '% s' to% s:% s,`% s 'का% s यह पुनर्नामकरण नहीं कर सकाः% s,s ka s yah punarnamakaran nahin kar sakaa s,negative,neutral
Error verifying signature:% s,हस्ताक्षर प्रमाणित करते समय त्रुटिः% s,signature prmanit karte samay error s,negative,negative
Rules for grant of leave to the employees of All India Services due to special disability.,अखिल भारतीय सेवा के कर्मचारियों को विशेष निशक्तता के कारण छुट्टी देने के लिए नियम।,india bhartiy services ke employees ko special due ke karan rules grant ke lie niyam.,neutral,positive
"Sucharita shut the kitchen door noisily and sank to the floor, bursting into sobs.",>> सुचरिता ने धड़ाके से रसोई का दरवाज़ा बन्द कर दिया और फर्श पर बैठ गई।,suchrita ne dharake se shut the kitchen band kar diya aur pharsh par baith gee.,negative,negative
"Somehow or other we want something which we can touch, something which we can see, something before which we can kneel down.","चाहे जिस कारण भी हो हम कोइ ऐसी वस्तु चाहते हैं जिसका हम स्पर्श कर सकें, जिसें देख सकें और जिसके समक्ष श्रद्धापूर्वक विनत हो सकें।","chahe jis karan bhi ho ham koi aesi vastu chahte hain jiska ham sparsh kar saken, jisen dekh saken aur jiske samaksh shraddhapoorvak vinat ho saken.",neutral,positive
Issuer:% s Subject:% s Fingerprint:% s Signature:% s,निर्गमकः% s विषयः% s फिंगरप्रिंटः% s हस्ताक्षरः% s,issuer s vishya s fingerprint s signature s,neutral,neutral
"A revelation from the Beneficent, the Merciful Allah:","यह अवतरण है बड़े कृपाशील, अत्यन्त दयावान की ओर से,","yah revelation hai bare kripashil, atyant dayavan ki or se,",positive,positive
"And among them are some that say, “Our Lord! Give us good in the world and good in the Hereafter, and save us from the punishment of fire! ”",और बाज़ बन्दे ऐसे हैं कि जो दुआ करते हैं कि ऐ मेरे पालने वाले मुझे दुनिया में नेअमत दे और आख़िरत में सवाब दे और दोज़ख़ की बाग से बचा,aur baz bande aese hain ki jo duaa karte hain ki ae mere palne vale mujhe duniya men neamat de aur aairat men savab de aur punishment of fire se bacha,positive,positive
"To some extent , Farooq is nervous about the ongoing secret talks between the Hurriyat and Delhi 's non-official negotiators .",फारूक ह्र्रियत और दिल्ली के गैर-सरकारी वार्ताकारों के बीच चलती बातचीत से कुछ बेचैन हैं .,pharook hrriyat aur dilli ke gair-sarkari ongoing secret talks chalti batchit se kuchh bechain hain,neutral,negative
The movement holds in its embrace not only the trees of Shri Bhatt’s beloved Gharwal but all creation across the world.,आंदोलन में न केवल श्री भट्ट के प्रिय गढ़वाल के वृक्ष बल्कि विश्वभर की सारी सृष्टि भी शामिल हैं।,aandolan men n keval shri bhatt ke priy gaval ke vriksh balki vishvabhar ki sari srishti bhi shamil hain.,positive,positive
"(18) ""company in which the public are substantially interested""a company is said to be a company in which the public are substantially interested—","(18) ''वह कंपनी जिसमें जनता पर्याप्त हितबद्ध है''- किसी कंपनी को ऐसी कंपनी, जिसमें जनता82 पर्याप्त रूप से हितबद्ध है, तब कहा जाता है जब–","18 vah knpni jismen public are substantially hai- kisi knpni ko aesi knpni, jismen janta82 paryapt roop se hitabaddh hai, tab kaha jata hai jab",neutral,neutral
Wait until we are told to show the window before executing the command,कमांड चलाने से पहले इंतजार करें जब तक कि विंडो दिखाने के लिए कहा जाए,command chalane se pahle wait karen jab tak ki window show ke lie kaha jae,neutral,neutral
"It is today a premier organization for industry, trade and service sectors in Karnataka.","आज यह कर्नाटक के उद्योग,व्यापार तथा सेवा क्षेत्र का एक प्रमुख संगठन है।","today yah karnataka ke industry , vyapar tatha service kshetr ka ek premier organization hai.",positive,neutral
Alaukik Laukikata Formality with a Supernatural Touch is one of his most remarkable stories of this period.,इस दौर में लिखी माणिक की एक अद्वितीय कहानी है अलौकिक लौकिकता।,is daur men likhi manik ki ek remarkable stories hai alaukik laukikta.,positive,positive
It was difficult not to think about what he had left behind.,"जो कुछ वह पीछे छोड़कर आया है, उसके बारे में एकदम कुछ न सोचना उसके लिए बहुत मुश्किल था।","jo kuchh vah pichhe chhorakar aaya hai , uske bare men ekadam kuchh n sochna uske lie bahut difficult tha.",negative,negative
"Elsewhere, he expressed surprise over the ‘symptoms of of utter confusion in its value system’ displayed by the Indian society in a period of change.","अन्यत्र, उन्होंने भारतीय समाज द्वारा बदलते हुए समय के साथ ""अपनी मूल्य व्यवस्था में नितांत भ्रम के लक्षणों"" के प्रति आश्चर्य प्रकट किया।","anyatr , indian society dvara badalte hue period ke sath apni value system men utter confusion ke symptoms ke prti surprise prakat kiya.",negative,positive
But they had not been sent as guardians over them.,हालाँकि वे उनपर कोई निगरानी करनेवाले बनाकर नहीं भेजे गए थे,halanki ve unapar koee guardians karnevale banakar nahin bheje ge the,neutral,neutral
"So my question is, if it can be done in Europe,","तो मेरा प्रश्न है, कि यदि ये यूरोप में किया जा सकता है,","to mera question hai , ki yadi ye europe men kiya ja sakta hai ,",neutral,neutral
This excessive amount of skin cells form the skin lesions of psoriasis.,यही अधिकाधिक त्वचा कोशिकाओं का झड़ाव त्वचा पर छालरोग के घाव पैदा कर देता है।,yahi adhikadhik skin cells ka jharav tvcha par lesions of psoriasis paida kar deta hai.,negative,neutral
You may bring up to two witnesses to the hearing .,आप अधिक से अधिक सुनवाई में दो गवाह ला सकते हैं .,aap adhik se adhik hearing men do witnesses la sakte hain,neutral,neutral
"There were the usual speeches, garlanding and so on.","उसमें, सामान्यतः जैसा होता है, मालाएं पहनाई गई और भाषण आदि हुए।","usmen, usual jaisa hota hai, malaen pahnaee gee aur speeches aadi hue.",neutral,neutral
An Iranian government - sponsored radio station gleefully predicts that its brand of militant Islam within the United States will “provoke a dangerous and crucial confrontation” with the American authorities.,ईरानी सरकार द्वारा प्रायोजित एक रेडियो स्टेशन ने अत्यंत प्रसन्नतापूर्वक भविष्यवाणी की कि उसके प्रकार का उग्रवादी इस्लाम अमेरिका में अमेरिकी अधिकारियों के साथ महत्वपूर्ण और खतरनाक संघर्ष को प्रोत्साहित कर देगा।,iranian government dvara sponsored ek radio station ne crucial prasanntapoorvak bhavishyvani ki ki uske brand ka militant islam united men ameriki authorities ke sath mahatvpoorn aur dangerous confrontation ko protsahit kar dega.,negative,negative
Color to draw the Marcus Bains Line in the Time bar (empty for default).,Marcus Bains Line को समय पट्टी में दिखाने के लिए रंग (तयशुदा रूप से खाली).,Marcus Bains Line ko time bar men dikhane ke lie color default roop se marcus,neutral,negative
how where they think the flag had been changes,कैसे वो सोचते हैं कि कहाँ फ्लैग बदल गया है,kaise vo sochte hain ki kahan flag badal gaya hai,neutral,neutral
It is a great pleasure for me to visit the Kofi Annan Centre of Excellence in ICT.,आईसीटी में कोफी अन्नान सेंटर ऑफ एक्सीलेंस में व्याख्या करना मेरे लिए एक आनंददायक अनुभूति है।,ict men kofi annan centre ऑph eksilens men vyakhya karna mere lie ek pleasure anubhooti great,positive,positive
"If this option is checked, every new view will display marks for code folding, if code folding is available.","यदि यह विकल्प चुना जाता है, हर नया दृश्य कोड फोल्डिंग के मार्क्स दिखाएगा, यदि कोड फोल्डिंग उपलब्ध है.","yadi yah option is checked hai, har naya drishy code folding ke display marks, yadi code folding upalabdh hai",neutral,neutral
